country,,Treaty Name,Treaty Acronym,Ratification Date,Signature Date
Ireland, ,International Covenant on Civil and Political Rights,ICCPR,1989-12-08 00:00:00,1973-10-01 00:00:00
Algeria, ,International Covenant on Civil and Political Rights,ICCPR,1989-09-12 00:00:00,1968-12-10 00:00:00
Equatorial Guinea, ,International Covenant on Civil and Political Rights,ICCPR,1987-09-25 00:00:00,.
Yemen, ,International Covenant on Civil and Political Rights,ICCPR,1987-02-09 00:00:00,.
Philippines, ,International Covenant on Civil and Political Rights,ICCPR,1986-10-23 00:00:00,1966-12-19 00:00:00
Argentina, ,International Covenant on Civil and Political Rights,ICCPR,1986-08-08 00:00:00,1968-02-19 00:00:00
Sudan, ,International Covenant on Civil and Political Rights,ICCPR,1986-03-18 00:00:00,.
Niger, ,International Covenant on Civil and Political Rights,ICCPR,1986-03-07 00:00:00,.
San Marino, ,International Covenant on Civil and Political Rights,ICCPR,1985-10-18 00:00:00,.
Cameroon, ,International Covenant on Civil and Political Rights,ICCPR,1984-06-27 00:00:00,.
Togo, ,International Covenant on Civil and Political Rights,ICCPR,1984-05-24 00:00:00,.
Zambia, ,International Covenant on Civil and Political Rights,ICCPR,1984-04-10 00:00:00,.
Congo, ,International Covenant on Civil and Political Rights,ICCPR,1983-10-05 00:00:00,.
Luxembourg, ,International Covenant on Civil and Political Rights,ICCPR,1983-08-18 00:00:00,1974-11-26 00:00:00
Belgium, ,International Covenant on Civil and Political Rights,ICCPR,1983-04-21 00:00:00,1968-12-10 00:00:00
Afghanistan, ,International Covenant on Civil and Political Rights,ICCPR,1983-01-24 00:00:00,.
Gabon, ,International Covenant on Civil and Political Rights,ICCPR,1983-01-21 00:00:00,.
Vietnam, ,International Covenant on Civil and Political Rights,ICCPR,1982-09-24 00:00:00,.
Bolivia, ,International Covenant on Civil and Political Rights,ICCPR,1982-08-12 00:00:00,.
Egypt, ,International Covenant on Civil and Political Rights,ICCPR,1982-01-14 00:00:00,1967-08-04 00:00:00
Saint Vincent and Grenadines, ,International Covenant on Civil and Political Rights,ICCPR,1981-11-09 00:00:00,.
North Korea, ,International Covenant on Civil and Political Rights,ICCPR,1981-09-14 00:00:00,.
Central African Republic, ,International Covenant on Civil and Political Rights,ICCPR,1981-05-08 00:00:00,.
Mexico, ,International Covenant on Civil and Political Rights,ICCPR,1981-03-23 00:00:00,.
France, ,International Covenant on Civil and Political Rights,ICCPR,1980-11-04 00:00:00,.
Australia,,International Covenant on Civil and Political Rights,ICCPR,1980-08-13 00:00:00,1972-12-18 00:00:00
Sri Lanka, ,International Covenant on Civil and Political Rights,ICCPR,1980-06-11 00:00:00,.
Nicaragua, ,International Covenant on Civil and Political Rights,ICCPR,1980-03-12 00:00:00,.
El Salvador, ,International Covenant on Civil and Political Rights,ICCPR,1979-11-30 00:00:00,1967-09-21 00:00:00
Iceland, ,International Covenant on Civil and Political Rights,ICCPR,1979-08-22 00:00:00,1968-12-30 00:00:00
Japan, ,International Covenant on Civil and Political Rights,ICCPR,1979-06-21 00:00:00,1978-05-30 00:00:00
Morocco, ,International Covenant on Civil and Political Rights,ICCPR,1979-05-03 00:00:00,1977-01-19 00:00:00
India, ,International Covenant on Civil and Political Rights,ICCPR,1979-04-10 00:00:00,.
Gambia, ,International Covenant on Civil and Political Rights,ICCPR,1979-03-22 00:00:00,.
New Zealand, ,International Covenant on Civil and Political Rights,ICCPR,1978-12-28 00:00:00,1968-11-12 00:00:00
Trinidad and Tobago,,International Covenant on Civil and Political Rights,ICCPR,1978-12-21 00:00:00,.
Netherlands, ,International Covenant on Civil and Political Rights,ICCPR,1978-12-11 00:00:00,1969-06-25 00:00:00
Italy, ,International Covenant on Civil and Political Rights,ICCPR,1978-09-15 00:00:00,1967-01-18 00:00:00
Austria, ,International Covenant on Civil and Political Rights,ICCPR,1978-09-10 00:00:00,1973-12-10 00:00:00
Portugal , ,International Covenant on Civil and Political Rights,ICCPR,1978-06-15 00:00:00,1976-10-07 00:00:00
Venezuela, ,International Covenant on Civil and Political Rights,ICCPR,1978-05-10 00:00:00,1969-06-24 00:00:00
Peru, ,International Covenant on Civil and Political Rights,ICCPR,1978-04-28 00:00:00,1977-08-11 00:00:00
Senegal, ,International Covenant on Civil and Political Rights,ICCPR,1978-02-13 00:00:00,1970-07-06 00:00:00
Guinea, ,International Covenant on Civil and Political Rights,ICCPR,1978-01-24 00:00:00,1967-02-28 00:00:00
Dominican Republic, ,International Covenant on Civil and Political Rights,ICCPR,1978-01-04 00:00:00,.
Spain, ,International Covenant on Civil and Political Rights,ICCPR,1977-04-27 00:00:00,1976-09-28 00:00:00
Poland, ,International Covenant on Civil and Political Rights,ICCPR,1977-03-18 00:00:00,1967-03-02 00:00:00
Panama, ,International Covenant on Civil and Political Rights,ICCPR,1977-03-08 00:00:00,1976-07-27 00:00:00
Guyana,,International Covenant on Civil and Political Rights,ICCPR,1977-02-15 00:00:00,1968-08-22 00:00:00
Suriname, ,International Covenant on Civil and Political Rights,ICCPR,1976-12-28 00:00:00,.
Democratic Republic of Congo, ,International Covenant on Civil and Political Rights,ICCPR,1976-11-01 00:00:00,.
Tanzania, ,International Covenant on Civil and Political Rights,ICCPR,1976-06-11 00:00:00,.
United Kingdom, ,International Covenant on Civil and Political Rights,ICCPR,1976-05-20 00:00:00,1968-09-16 00:00:00
Canada, ,International Covenant on Civil and Political Rights,ICCPR,1976-05-19 00:00:00,.
Jamaica, ,International Covenant on Civil and Political Rights,ICCPR,1975-10-03 00:00:00,1966-12-19 00:00:00
Finland, ,International Covenant on Civil and Political Rights,ICCPR,1975-08-19 00:00:00,1967-10-11 00:00:00
Iran, ,International Covenant on Civil and Political Rights,ICCPR,1975-06-24 00:00:00,1968-04-04 00:00:00
Jordan, ,International Covenant on Civil and Political Rights,ICCPR,1975-05-28 00:00:00,1972-06-30 00:00:00
Rwanda, ,International Covenant on Civil and Political Rights,ICCPR,1975-04-16 00:00:00,.
Romania, ,International Covenant on Civil and Political Rights,ICCPR,1974-12-09 00:00:00,1968-06-27 00:00:00
Mongolia, ,International Covenant on Civil and Political Rights,ICCPR,1974-11-18 00:00:00,1968-06-05 00:00:00
Mali, ,International Covenant on Civil and Political Rights,ICCPR,1974-07-16 00:00:00,.
Hungary, ,International Covenant on Civil and Political Rights,ICCPR,1974-01-17 00:00:00,1969-03-25 00:00:00
Germany, ,International Covenant on Civil and Political Rights,ICCPR,1973-12-17 00:00:00,1968-10-09 00:00:00
Mauritius, ,International Covenant on Civil and Political Rights,ICCPR,1973-12-12 00:00:00,.
Ukraine, ,International Covenant on Civil and Political Rights,ICCPR,1973-11-12 00:00:00,1968-03-20 00:00:00
Belarus, ,International Covenant on Civil and Political Rights,ICCPR,1973-11-12 00:00:00,1968-03-19 00:00:00
Russia, ,International Covenant on Civil and Political Rights,ICCPR,1973-10-16 00:00:00,1968-03-18 00:00:00
Barbados, ,International Covenant on Civil and Political Rights,ICCPR,1973-01-05 00:00:00,.
Lebanon, ,International Covenant on Civil and Political Rights,ICCPR,1972-11-03 00:00:00,.
Norway, ,International Covenant on Civil and Political Rights,ICCPR,1972-09-13 00:00:00,1968-03-20 00:00:00
Kenya, ,International Covenant on Civil and Political Rights,ICCPR,1972-05-01 00:00:00,.
Chile, ,International Covenant on Civil and Political Rights,ICCPR,1972-02-10 00:00:00,1969-09-16 00:00:00
Denmark, ,International Covenant on Civil and Political Rights,ICCPR,1972-01-06 00:00:00,1968-03-20 00:00:00
Sweden,,International Covenant on Civil and Political Rights,ICCPR,1971-12-06 00:00:00,1967-09-29 00:00:00
Madagascar,,International Covenant on Civil and Political Rights,ICCPR,1971-06-21 00:00:00,1969-09-17 00:00:00
Iraq,,International Covenant on Civil and Political Rights,ICCPR,1971-01-25 00:00:00,1969-02-18 00:00:00
Bulgaria,,International Covenant on Civil and Political Rights,ICCPR,1970-09-21 00:00:00,1968-10-08 00:00:00
Libya,,International Covenant on Civil and Political Rights,ICCPR,1970-05-15 00:00:00,.
Uruguay,,International Covenant on Civil and Political Rights,ICCPR,1970-04-01 00:00:00,1967-02-21 00:00:00
Colombia,,International Covenant on Civil and Political Rights,ICCPR,1969-10-29 00:00:00,1966-12-21 00:00:00
Syria,,International Covenant on Civil and Political Rights,ICCPR,1969-04-21 00:00:00,.
Cyprus,,International Covenant on Civil and Political Rights,ICCPR,1969-04-02 00:00:00,1966-12-19 00:00:00
Tunisia,,International Covenant on Civil and Political Rights,ICCPR,1969-03-18 00:00:00,1968-04-30 00:00:00
Ecuador,,International Covenant on Civil and Political Rights,ICCPR,1969-03-06 00:00:00,1968-04-04 00:00:00
Costa Rica,,International Covenant on Civil and Political Rights,ICCPR,1968-11-29 00:00:00,1966-12-19 00:00:00
China ,,International Covenant on Civil and Political Rights,ICCPR,.,1998-10-05 00:00:00
Nauru,,International Covenant on Civil and Political Rights,ICCPR,.,2001-11-12 00:00:00
Saint Lucia,,International Covenant on Civil and Political Rights,ICCPR,.,2011-09-22 00:00:00
Cuba,,International Covenant on Civil and Political Rights,ICCPR,.,2008-02-28 00:00:00
Palau,,International Covenant on Civil and Political Rights,ICCPR,.,2011-09-20 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2019-10-02 00:00:00,2013-09-24 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2019-05-13 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2017-11-27 00:00:00,2015-10-19 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2017-01-10 00:00:00,2000-09-06 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2014-04-02 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2013-05-10 00:00:00,1981-12-17 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2011-09-30 00:00:00,2006-06-14 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2010-11-01 00:00:00,2000-09-12 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2006-10-23 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2006-10-13 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2006-09-22 00:00:00,2002-08-05 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2004-09-27 00:00:00,2000-09-22 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2003-08-18 00:00:00,2000-09-13 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2003-04-16 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2003-01-28 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2003-01-02 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2002-10-10 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2002-10-08 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2002-09-16 00:00:00,1972-10-13 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2002-03-12 00:00:00,2001-12-11 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2001-11-30 00:00:00,1967-02-02 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2001-11-14 00:00:00,2000-09-06 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2001-09-13 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2001-07-31 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2001-03-12 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2000-12-29 00:00:00,1968-03-21 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,2000-03-01 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1999-06-25 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1999-06-02 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1998-12-10 00:00:00,1998-06-08 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1998-12-10 00:00:00,1994-10-03 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1998-08-26 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1997-09-23 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1997-09-05 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1996-08-16 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1996-06-11 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1995-12-15 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1995-09-28 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1995-09-27 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1995-01-11 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1994-11-29 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1994-10-21 00:00:00,1966-09-28 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1994-09-29 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1994-05-11 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1994-01-18 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1993-07-16 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1993-06-23 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1993-05-28 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1993-02-22 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1993-01-26 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1992-10-12 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1992-07-06 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1992-04-14 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1991-10-21 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1991-05-13 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1990-03-27 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1990-02-14 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1988-12-13 00:00:00,1966-12-21 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1988-10-25 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1988-07-11 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1984-04-24 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1984-03-15 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1983-11-28 00:00:00,1966-04-12 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1983-07-06 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1983-05-25 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1983-04-18 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1983-01-18 00:00:00,1967-09-08 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1982-11-11 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1982-08-24 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1982-06-09 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1982-03-17 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1982-02-18 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1982-01-27 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1981-12-29 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1981-11-09 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1981-09-02 00:00:00,1967-03-23 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1980-11-21 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1980-02-29 00:00:00,1966-09-20 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1979-11-30 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1979-10-03 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1979-06-11 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1979-01-03 00:00:00,1966-03-07 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1978-12-29 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1978-12-05 00:00:00,1978-08-08 00:00:00
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1978-05-01 00:00:00,1967-12-12 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1978-03-07 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1978-02-15 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1977-10-27 00:00:00,1967-02-01 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1977-08-17 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1977-03-21 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1977-03-14 00:00:00,1966-03-24 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1977-02-15 00:00:00,1968-12-11 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1976-11-05 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1976-07-22 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1976-06-23 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1976-04-21 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1976-01-05 00:00:00,1968-03-13 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1975-09-30 00:00:00,1966-10-13 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1975-08-26 00:00:00,1967-01-26 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1975-08-07 00:00:00,1967-08-17 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1975-08-05 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1975-04-16 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1975-02-20 00:00:00,1966-11-01 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1974-07-18 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1974-07-16 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1974-06-20 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1974-05-30 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1974-02-22 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1974-02-20 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1973-10-04 00:00:00,1967-06-09 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1973-01-11 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1973-01-04 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-12-19 00:00:00,1972-10-30 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-11-22 00:00:00,1966-10-25 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-11-08 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-10-27 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-10-18 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-09-01 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-05-30 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-05-09 00:00:00,1969-07-22 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-04-19 00:00:00,1968-07-22 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-02-16 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-02-15 00:00:00,1966-06-07 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-02-14 00:00:00,1966-12-09 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1972-02-04 00:00:00,1968-10-11 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-12-10 00:00:00,1966-10-24 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-12-09 00:00:00,1966-06-21 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-12-06 00:00:00,1966-05-05 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-11-12 00:00:00,.
,,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-11-04 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-10-20 00:00:00,1966-10-03 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-09-29 00:00:00,1966-07-22 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-07-28 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-06-24 00:00:00,1966-12-12 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-06-04 00:00:00,1966-08-14 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-05-27 00:00:00,1968-09-05 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-03-16 00:00:00,1966-03-07 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1971-01-30 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-12-18 00:00:00,1967-09-18 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-10-14 00:00:00,1966-08-24 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-09-22 00:00:00,1966-06-07 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-09-15 00:00:00,.
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-08-06 00:00:00,1966-11-21 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-07-14 00:00:00,1966-10-06 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-06-18 00:00:00,1966-03-07 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1970-02-13 00:00:00,1969-02-18 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1969-08-06 00:00:00,1966-05-03 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1969-05-16 00:00:00,1967-02-10 00:00:00
, ,Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discrimination,ICERD,1969-05-01 00:00:00,1966-11-21 00:00:00
